Dataset                      Metric                    metric valor    p    k
../datasets_2/china.arff     R2 Score                   0.581426       2    5
../datasets_2/china.arff     MAE                     2224.57           1    6
../datasets_2/china.arff     Median Absolute Error    406.75           1    6
../datasets_2/china.arff     RMSE                    5857.5            1    6
../datasets_2/china.arff     R2 Score                   0.609288       1    6
../datasets_2/china.arff     MAE                     1603.98           2    6
../datasets_2/china.arff     Median Absolute Error    728.083          2    6
../datasets_2/china.arff     RMSE                    3055.82           2    6
../datasets_2/china.arff     R2 Score                   0.713758       2    6
../datasets_2/china.arff     MAE                      961.293          1    7
../datasets_2/china.arff     Median Absolute Error    473.929          1    7
../datasets_2/china.arff     RMSE                    1733.27           1    7
../datasets_2/china.arff     R2 Score                   0.808647       1    7
../datasets_2/china.arff     MAE                     2110.93           2    7
../datasets_2/china.arff     Median Absolute Error    717.286          2    7
../datasets_2/china.arff     RMSE                    4617.22           2    7
../datasets_2/china.arff     R2 Score                   0.662803       2    7
../datasets_2/china.arff     MAE                     1434.37           1    8
../datasets_2/china.arff     Median Absolute Error    545.375          1    8
../datasets_2/china.arff     RMSE                    3202.03           1    8
../datasets_2/china.arff     R2 Score                   0.756268       1    8
../datasets_2/china.arff     MAE                     1567.19           2    8
../datasets_2/china.arff     Median Absolute Error    783.5            2    8
../datasets_2/china.arff     RMSE                    2695.91           2    8
../datasets_2/china.arff     R2 Score                   0.79875        2    8
../datasets_2/china.arff     MAE                     2032.99           1    9
../datasets_2/china.arff     Median Absolute Error    748.444          1    9
../datasets_2/china.arff     RMSE                    4139.23           1    9
../datasets_2/china.arff     R2 Score                   0.522534       1    9
../datasets_2/china.arff     MAE                     2014.62           2    9
../datasets_2/china.arff     Median Absolute Error    936.667          2    9
../datasets_2/china.arff     RMSE                    4370.98           2    9
../datasets_2/china.arff     R2 Score                   0.663309       2    9
../datasets_2/albrecht.arff  MAE                        9.22           1    3
../datasets_2/albrecht.arff  Median Absolute Error      2.6            1    3
../datasets_2/albrecht.arff  RMSE                      15.7136         1    3
../datasets_2/albrecht.arff  R2 Score                   0.824402       1    3
../datasets_2/albrecht.arff  MAE                       16.34           2    3
../datasets_2/albrecht.arff  Median Absolute Error      6.13333        2    3
../datasets_2/albrecht.arff  RMSE                      23.5746         2    3
../datasets_2/albrecht.arff  R2 Score                  -0.0964681      2    3
../datasets_2/albrecht.arff  MAE                        7.085          1    4
../datasets_2/albrecht.arff  Median Absolute Error      5.75           1    4
../datasets_2/albrecht.arff  RMSE                       9.94316        1    4
../datasets_2/albrecht.arff  R2 Score                   0.186028       1    4
../datasets_2/albrecht.arff  MAE                       32.125          2    4
../datasets_2/albrecht.arff  Median Absolute Error      7.7            2    4
